ticker,10y_avg_annual_return_%,10y_R2,5y_avg_annual_return_%,SBC_as_%_of_FCF,net_debt_to_ebitda,Revenue_Growth_5Y,Revenue_Growth_LastYear_%,FreeCashFlow5Y,EPS_Growth_5Y,EPS_Growth_3Y,ROIC_5Y,ROI_ANNUAL,Gross_Margin_5Y,Gross_Margin_Annual,date,horodatage
SPGI,20.06,0.9228,10.8,4.44,1.38432938788293,16.23,12.98,15.9,7.52,-0.39,24.22,8.65,69.54,69.09,2025-08-01,2025-08-01 17:12:45
GOOG,19.75,0.8739,21.02,31.31,-0.3797189751998894,16.68,13.13,18.63,25.06,10.26,24.38,29.56,56.21,58.2,2025-08-01,2025-08-01 17:12:45
ACN,12.79,0.8906,5.65,22.54,-0.1250990256847217,8.47,6.21,7.4,9.22,7.7,28.5,24.78,32.17,32.61,2025-08-01,2025-08-01 17:12:45
SAP,17.1,0.6206,14.16,53.92,-0.1363030111992807,4.4,10.29,10.55,-0.98,-15.92,8.56,5.57,72.61,73.19,2025-08-01,2025-08-01 17:12:45
MA,20.13,0.9483,13.35,3.87,0.5115324773763258,10.78,14.59,12.75,11.82,16.62,45.01,52.1,,,2025-08-01,2025-08-01 17:12:45
NVDA,79.95,0.596,73.97,7.78,-0.4918693957737498,64.24,86.17,70.11,91.83,96.93,39.37,83.02,67.82,75.45,2025-08-01,2025-08-01 17:12:45
NEM.HA,28.91,0.8276,15.86,,,12.32,21.08,15.74,6.65,9.23,17.29,11.88,96.06,95.93,2025-08-01,2025-08-01 17:12:45
ASML,23.4,0.8485,15.49,1.9,-0.2935898229559019,19.05,26.41,29.82,25.73,8.77,33.08,32.26,49.68,51.28,2025-08-01,2025-08-01 17:12:45
CRM,13.46,0.7778,4.74,25.6,-0.4808138890444881,17.25,7.97,27.52,112.11,62.51,5.26,8.82,74.78,77.19,2025-08-01,2025-08-01 17:12:45
BKNG,16.03,0.6619,27.18,7.59,0.1837281268478319,9.52,11.72,11.91,9.08,83.02,16.69,19.96,92.27,98.09,2025-08-01,2025-08-01 17:12:45
AMZN,23.19,0.7901,6.7,66.95,0.5025050592793893,17.86,10.08,8.71,36.89,19.49,10.89,16.38,44.25,48.85,2025-08-01,2025-08-01 17:12:45
TSLA,33.21,0.7167,25.25,55.82,-2.084258612619875,31.78,-2.73,29.9,,7.72,14.83,8.79,21.6,17.86,2025-08-01,2025-08-01 17:12:45
MSFT,29.65,0.9342,20.92,16.72,0.1143629423163417,14.26,14.13,14.12,18.45,13.58,27.11,25.38,68.76,69.76,2025-08-01,2025-08-01 17:12:45
V,17.43,0.9336,13.61,4.55,0.2196983936880003,9.35,10.19,9.22,12.85,20.03,25.38,32.92,79.91,80.4,2025-08-01,2025-08-01 17:12:45
AAPL,22.98,0.9267,14.29,10.74,0.3578125862759783,8.49,4.91,13.06,15.41,2.71,50.63,56.99,42.73,46.21,2025-08-01,2025-08-01 17:12:45
INTU,23.47,0.9062,21.21,41.86,,19.14,14.99,16.4,12.08,11.37,14.0,12.11,80.5,78.72,2025-08-01,2025-08-01 17:12:45
JNJ,10.57,0.8655,8.2,6.51,1.0537779724041918,1.6,4.68,-0.08,0.55,-9.49,19.71,13.01,68.7,69.11,2025-08-01,2025-08-01 17:12:45
SNY,6.12,0.8258,5.29,,0.5661041397404064,3.31,40.43,-0.14,15.1,-3.64,8.28,5.83,69.17,70.18,2025-08-01,2025-08-01 17:12:45
IONQ,31.89,0.2729,31.89,-82.69,2.435711977064651,,69.86,,,,-30.35,-86.37,,52.77,2025-08-01,2025-08-01 17:12:45
